"drg","stateProvider","num_charges","mean_charge"
"039","AK",1,34805.13043
"039","AL",23,32044.4415143043
"039","AR",16,27463.268018125
"039","AZ",24,33443.3633591667
"039","CA",67,56094.9345614925
"039","CO",10,35252.210814
"039","CT",15,21632.0099906667
"039","DC",3,47369.8809533333
"039","DE",3,23966.52804
"039","FL",81,42636.6796311111
"039","GA",29,28198.3288706897
"039","HI",1,27809.95833
"039","IA",14,22040.6836657143
"039","ID",6,19174.957275
"039","IL",52,34146.6043057692
"039","IN",37,26161.9007356757
"039","KS",16,25859.601444375
"039","KY",18,22341.8346177778
"039","LA",25,34160.1658328
"039","MA",25,21435.6751304
"039","MD",21,9633.09531319048
"039","ME",3,14480.66232
"039","MI",40,22322.1257805
"039","MN",14,25111.7515621429
"039","MO",30,26128.3035593333
"039","MS",15,27475.8102893333
"039","MT",5,18199.581686
"039","NC",26,21999.2188342308
"039","ND",6,14450.3524833333
"039","NE",9,23804.4805411111
"039","NH",8,24200.00654875
"039","NJ",31,35103.809386129
"039","NM",7,32472.8872071429
"039","NV",11,47518.4805218182
"039","NY",46,23260.6824608043
"039","OH",48,28181.9481407708
"039","OK",10,23915.593573
"039","OR",12,24634.9426075
"039","PA",44,33175.9952038636
"039","RI",3,24913.80349
"039","SC",19,33864.17418
"039","SD",4,21836.92657
"039","TN",32,26417.3805478125
"039","TX",78,31447.0561575641
"039","UT",6,20597.699475
"039","VA",28,27124.6362428571
"039","VT",1,17934.35088
"039","WA",21,31277.5546533333
"039","WI",25,24562.5259248
"039","WV",8,15732.11943125
"039","WY",2,26991.64732
"057","AK",1,31858.54545
"057","AL",25,24896.57611268
"057","AR",11,15694.0909445455
"057","AZ",18,29392.2675383333
"057","CA",78,45722.745700641
"057","CO",14,26052.8306857143
"057","CT",16,24235.439099375
"057","DC",4,28650.10133
"057","DE",2,17471.61392
"057","FL",102,27257.3215479412
"057","GA",34,18508.6920242059
"057","HI",1,27601
"057","IA",10,17270.418497
"057","ID",1,15237.58333
"057","IL",68,22217.0487001471
"057","IN",33,17221.1978813333
"057","KS",11,24837.7528398182
"057","KY",19,16294.977085
"057","LA",12,20703.3558185833
"057","MA",39,14017.8529449744
"057","MD",37,9952.50057243243
"057","ME",7,17063.9390398571
"057","MI",45,15141.9837214889
"057","MN",18,20949.5757139444
"057","MO",28,18560.6526587143
"057","MS",14,19902.1164914286
"057","MT",3,17013.8429773333
"057","NC",39,17547.6358157692
"057","ND",1,15473.68421
"057","NE",6,16810.091285
"057","NH",7,17753.7967857143
"057","NJ",55,45692.0683665455
"057","NM",5,21862.829296
"057","NV",7,45778.55549
"057","NY",104,24169.7174215
"057","OH",49,16950.7734988776
"057","OK",12,22643.8106283333
"057","OR",3,22413.3591166667
"057","PA",68,27662.9660945147
"057","RI",3,24220.9780233333
"057","SC",22,21741.9232653182
"057","SD",3,18976.17951
"057","TN",20,21064.212003
"057","TX",70,28781.3658702429
"057","UT",2,20247.73262
"057","VA",33,19070.6209513333
"057","VT",1,18529.39286
"057","WA",10,23513.411655
"057","WI",20,17936.737436
"057","WV",9,13032.0193936667
"057","WY",1,16099.86667
"064","AK",2,42453.8115
"064","AL",35,42089.0217617143
"064","AR",18,34320.5110244444
"064","AZ",26,50571.0372915385
"064","CA",165,89387.6131447879
"064","CO",18,55223.6175861111
"064","CT",22,41027.5080595455
"064","DC",5,67844.36177
"064","DE",4,39125.12934
"064","FL",113,59707.7330088496
"064","GA",51,43737.3128707843
